list-none-none,1,10,30,92383,3079.433333
list-none-none,1,100,300,107760,359.200000
list-none-none,1,1000,3000,2877031,959.010333
list-none-none,1,10000,30000,267785728,8926.190933
list-none-none,1,20000,60000,1540978806,25682.980100
list-none-none,2,1,6,104458,17409.666667
list-none-none,2,10,60,111074,1851.233333
list-none-none,4,1,12,164644,13720.333333
list-none-none,4,10,120,162164,1351.366667
list-none-none,8,1,24,311234,12968.083333
list-none-none,1,10,30,111654,3721.800000
list-none-none,1,100,300,240957,803.190000
list-none-none,1,1000,3000,5541700,1847.233333
list-none-none,1,10000,30000,351876780,11729.226000
list-none-none,1,20000,60000,1366657679,22777.627983
list-none-none,2,1,6,178842,29807.000000
list-none-none,1,10,30,92610,3087.000000
list-none-none,1,100,300,176951,589.836667
list-none-none,1,1000,3000,3532142,1177.380667
list-none-none,1,10000,30000,324504334,10816.811133
list-none-none,1,20000,60000,1312204558,21870.075967
list-none-none,2,1,6,125053,20842.166667
list-none-none,2,10,60,75806,1263.433333
list-none-none,4,1,12,144166,12013.833333
list-none-none,4,10,120,186411,1553.425000
list-none-none,8,1,24,219263,9135.958333
list-none-none,8,10,240,218541,910.587500
list-none-none,12,1,36,343200,9533.333333
list-none-none,12,10,360,309216,858.933333
list-inone,2,1,6,77958,12993.000000
list-inone,4,1,12,159951,13329.250000
list-inone,8,1,24,251512,10479.666667
list-inone,12,1,36,341901,9497.250000
list-dnone,8,1,24,234644,9776.833333
list-dnone,12,1,36,292557,8126.583333
list-ilnone,2,1,6,73119,12186.500000
list-ilnone,4,1,12,173748,14479.000000
list-ilnone,8,1,24,245885,10245.208333
list-ilnone,12,1,36,300822,8356.166667
list-dlnone,2,1,6,95394,15899.000000
list-dlnone,4,1,12,175894,14657.833333
list-dlnone,8,1,24,227556,9481.500000
list-dlnone,12,1,36,322967,8971.305556
list-inone,2,2,12,95787,7982.250000
list-inone,4,2,24,174668,7277.833333
list-inone,8,2,48,246657,5138.687500
list-inone,12,2,72,304454,4228.527778
list-dnone,2,2,12,91061,7588.416667
list-dnone,4,2,24,173374,7223.916667
list-dnone,8,2,48,210721,4390.020833
list-ilnone,2,2,12,99365,8280.416667
list-ilnone,4,2,24,158775,6615.625000
list-ilnone,8,2,48,252270,5255.625000
list-dlnone,2,2,12,118535,9877.916667
list-dlnone,4,2,24,175528,7313.666667
list-dlnone,12,2,72,301503,4187.541667
list-inone,4,4,48,119378,2487.041667
list-inone,12,4,144,295415,2051.493056
list-dnone,8,4,96,238833,2487.843750
list-ilnone,2,4,24,128870,5369.583333
list-ilnone,4,4,48,121211,2525.229167
list-ilnone,12,4,144,312482,2170.013889
list-dlnone,2,4,24,116945,4872.708333
list-dlnone,4,4,48,179274,3734.875000
list-inone,2,8,48,120931,2519.395833
list-inone,4,8,96,174927,1822.156250
list-inone,8,8,192,209907,1093.265625
list-dnone,2,8,48,88973,1853.604167
list-dnone,4,8,96,134604,1402.125000
list-dnone,8,8,192,204988,1067.645833
list-dnone,12,8,288,245860,853.680556
list-dlnone,2,8,48,132842,2767.541667
list-inone,2,16,96,107219,1116.864583
list-inone,8,16,384,219210,570.859375
list-dnone,8,16,384,233991,609.351562
list-ilnone,2,16,96,77656,808.916667
list-ilnone,8,16,384,214120,557.604167
list-dlnone,2,16,96,123976,1291.416667
list-inone,2,32,192,140411,731.307292
list-dnone,2,32,192,165371,861.307292
list-im,2,1,6,76991,12831.833333
list-im,4,1,12,164355,13696.250000
list-im,8,1,24,227286,9470.250000
list-im,12,1,36,339746,9437.388889
list-dm,2,1,6,67419,11236.500000
list-dm,4,1,12,176091,14674.250000
list-dm,8,1,24,251551,10481.291667
list-dm,12,1,36,279311,7758.638889
list-ilm,2,1,6,145907,24317.833333
list-ilm,4,1,12,174407,14533.916667
list-ilm,8,1,24,252549,10522.875000
list-ilm,12,1,36,276037,7667.694444
list-dlm,2,1,6,94047,15674.500000
list-dlm,4,1,12,159717,13309.750000
list-dlm,8,1,24,239513,9979.708333
list-dlm,12,1,36,311878,8663.277778
list-im,2,2,12,123498,10291.500000
list-im,4,2,24,133814,5575.583333
list-im,8,2,48,248050,5167.708333
list-im,12,2,72,311921,4332.236111
list-dm,2,2,12,90961,7580.083333
list-dm,4,2,24,160051,6668.791667
list-dm,8,2,48,227704,4743.833333
list-dm,12,2,72,309721,4301.680556
list-ilm,2,2,12,114882,9573.500000
list-ilm,4,2,24,175656,7319.000000
list-ilm,8,2,48,224704,4681.333333
list-ilm,12,2,72,349039,4847.763889
list-dlm,2,2,12,108223,9018.583333
list-dlm,4,2,24,159821,6659.208333
list-dlm,8,2,48,264228,5504.750000
list-dlm,12,2,72,322538,4479.694444
list-im,2,4,24,112865,4702.708333
list-im,4,4,48,175043,3646.729167
list-im,8,4,96,211242,2200.437500
list-im,12,4,144,335278,2328.319444
list-dm,2,4,24,108443,4518.458333
list-dm,4,4,48,158158,3294.958333
list-dm,8,4,96,222907,2321.947917
list-dm,12,4,144,336751,2338.548611
list-ilm,2,4,24,95646,3985.250000
list-ilm,4,4,48,122019,2542.062500
list-ilm,8,4,96,227187,2366.531250
list-ilm,12,4,144,336643,2337.798611
list-dlm,2,4,24,91684,3820.166667
list-dlm,4,4,48,165590,3449.791667
list-dlm,8,4,96,226784,2362.333333
list-dlm,12,4,144,314548,2184.361111
list-im,2,8,48,119396,2487.416667
list-im,4,8,96,116909,1217.802083
list-im,8,8,192,203664,1060.750000
list-im,12,8,288,314736,1092.833333
list-dm,2,8,48,115951,2415.645833
list-dm,4,8,96,178766,1862.145833
list-dm,8,8,192,244958,1275.822917
list-dm,12,8,288,338140,1174.097222
list-ilm,2,8,48,73970,1541.041667
list-ilm,4,8,96,118174,1230.979167
list-ilm,8,8,192,233525,1216.276042
list-ilm,12,8,288,330459,1147.427083
list-dlm,2,8,48,116889,2435.187500
list-dlm,4,8,96,178366,1857.979167
list-dlm,8,8,192,267691,1394.223958
list-dlm,12,8,288,372587,1293.704861
list-im,2,16,96,138174,1439.312500
list-im,4,16,192,189426,986.593750
list-im,8,16,384,246620,642.239583
list-im,12,16,576,329260,571.631944
list-dm,2,16,96,118441,1233.760417
list-dm,4,16,192,163652,852.354167
list-dm,8,16,384,220616,574.520833
list-dm,12,16,576,364852,633.423611
list-ilm,2,16,96,130355,1357.864583
list-ilm,4,16,192,197253,1027.359375
list-ilm,8,16,384,217515,566.445312
list-ilm,12,16,576,374174,649.607639
list-dlm,2,16,96,117461,1223.552083
list-dlm,4,16,192,185507,966.182292
list-dlm,8,16,384,350247,912.101562
list-dlm,12,16,576,318527,552.998264
list-im,2,32,192,129944,676.791667
list-im,4,32,384,209253,544.929688
list-im,8,32,768,320430,417.226562
list-im,12,32,1152,381441,331.111979
list-dm,2,32,192,130614,680.281250
list-dm,4,32,384,209009,544.294271
list-dm,8,32,768,315429,410.714844
list-dm,12,32,1152,400565,347.712674
list-ilm,2,32,192,164751,858.078125
list-ilm,4,32,384,169616,441.708333
list-ilm,8,32,768,395849,515.428385
list-ilm,12,32,1152,454328,394.381944
list-dlm,2,32,192,147943,770.536458
list-dlm,4,32,384,231392,602.583333
list-dlm,8,32,768,357395,465.358073
list-dlm,12,32,1152,408364,354.482639
list-is,2,1,6,92687,15447.833333
list-is,4,1,12,159575,13297.916667
list-is,8,1,24,191715,7988.125000
list-is,12,1,36,295947,8220.750000
list-ds,2,1,6,109928,18321.333333
list-ds,4,1,12,173429,14452.416667
list-ds,8,1,24,234884,9786.833333
list-ds,12,1,36,327022,9083.944444
list-ils,2,1,6,89192,14865.333333
list-ils,4,1,12,172603,14383.583333
list-ils,8,1,24,234422,9767.583333
list-ils,12,1,36,323851,8995.861111
list-dls,2,1,6,90259,15043.166667
list-dls,4,1,12,174144,14512.000000
list-dls,8,1,24,242347,10097.791667
list-dls,12,1,36,274808,7633.555556
list-is,2,2,12,113261,9438.416667
list-is,4,2,24,164999,6874.958333
list-is,8,2,48,196303,4089.645833
list-is,12,2,72,331152,4599.333333
list-ds,2,2,12,69817,5818.083333
list-ds,4,2,24,160599,6691.625000
list-ds,8,2,48,233418,4862.875000
list-ds,12,2,72,340654,4731.305556
list-ils,2,2,12,69001,5750.083333
list-ils,4,2,24,150173,6257.208333
list-ils,8,2,48,261804,5454.250000
list-ils,12,2,72,315309,4379.291667
list-dls,2,2,12,95492,7957.666667
list-dls,4,2,24,108663,4527.625000
list-dls,8,2,48,234234,4879.875000
list-dls,12,2,72,330011,4583.486111
list-is,2,4,24,112729,4697.041667
list-is,4,4,48,159609,3325.187500
list-is,8,4,96,236896,2467.666667
list-is,12,4,144,325307,2259.076389
list-ds,2,4,24,121612,5067.166667
list-ds,4,4,48,121978,2541.208333
list-ds,8,4,96,245237,2554.552083
list-ds,12,4,144,298381,2072.090278
list-ils,2,4,24,166033,6918.041667
list-ils,4,4,48,175314,3652.375000
list-ils,8,4,96,234962,2447.520833
list-ils,12,4,144,313144,2174.611111
list-dls,2,4,24,135467,5644.458333
list-dls,4,4,48,164872,3434.833333
list-dls,8,4,96,233148,2428.625000
list-dls,12,4,144,326080,2264.444444
list-is,2,8,48,108507,2260.562500
list-is,4,8,96,164510,1713.645833
list-is,8,8,192,254163,1323.765625
list-is,12,8,288,294163,1021.399306
list-ds,2,8,48,152172,3170.250000
list-ds,4,8,96,124961,1301.677083
list-ds,8,8,192,221295,1152.578125
list-ds,12,8,288,308058,1069.645833
list-ils,2,8,48,146630,3054.791667
list-ils,4,8,96,135537,1411.843750
list-ils,8,8,192,264182,1375.947917
list-ils,12,8,288,314106,1090.645833
list-dls,2,8,48,111040,2313.333333
list-dls,4,8,96,178626,1860.687500
list-dls,8,8,192,220740,1149.687500
list-dls,12,8,288,338761,1176.253472
list-is,2,16,96,66632,694.083333
list-is,4,16,192,112177,584.255208
list-is,8,16,384,260722,678.963542
list-is,12,16,576,330511,573.803819
list-ds,2,16,96,130626,1360.687500
list-ds,4,16,192,141188,735.354167
list-ds,8,16,384,221257,576.190104
list-ds,12,16,576,320570,556.545139
list-ils,2,16,96,135721,1413.760417
list-ils,4,16,192,185235,964.765625
list-ils,8,16,384,288716,751.864583
list-ils,12,16,576,377419,655.241319
list-dls,2,16,96,83985,874.843750
list-dls,4,16,192,108123,563.140625
list-dls,8,16,384,291289,758.565104
